Name, Landmark, City, Town, Bed, Bath, Size, Currency, Rent, Owner,Listing_Date, Type, Description
executive 2 bed apartment at Dansoman.,Dansoman Karikari,Dansoman,Accra,2,1,10.0 sqm,Ghana cedis,450,Thomas Rentals ,13 Jul  4:16 am,Apartment,Wall n gated  floor tiles every where  no water problems  no far from the main road.
Furnished 3 bedrooms to let Cantonments,cantonments,Cantonments,Accra,3,3,3 000.0 sqm,Ghana cedis,13500,Newmon Creek Limited ,13 Jul  2:43 am,Apartment,3 bedrooms-2 bedrooms en suit Guest washroom Tiled inside floors Paved compound Tiled inside floors Bathrooms have water heaters Fitted kitchen cabinet with dish washer fridge and gas cooker Fitted air conditions Swimming pool Attached gym  Walled and gated with 24hr security Stand by generator
Chamber and hall self Contain  Spintex,,Spintex,Accra,2,1,100.0 sqm,Ghana cedis,500,Almond Properties ,13 Jul 12:48 am,Apartment,Chamber and hall self contain for rent with bath and Kitchen
Three bedrooms apartment  latebiokorshi,Accra,East Legon,Accra,3,4,1 000.0 sqm,Ghana cedis,4000,Michael Healing Real Estate ,13 Jul 12:47 am,Apartment,Executive three bedrooms self apartment at latebiokorshi in Accra with fitted kitchen cabinet  air condition  separate meter  ceiling fans  24 / 7 water supply  24 / 7 security  spacious wardrobes  standby generator  Cctv camera  + one room boys quarter pls for more details contact me thanks
single room self contain mempeasem,mempeasem,East Legon,Accra,1,1,20.0 sqm,Ghana cedis,400,Michael Healing Real Estate ,13 Jul 12:45 am,Apartment,Executive single room self contain at east legon America house around mempeasem for rent with fitted kitchen cabinet  air condition  24 / 7 water supply  ceiling fans  separate meter  24 / 7 security  p.o.p ceiling pls for more details contact me thanks
Two bedrooms apartment at latebiokorshi,Accra,East Legon,Accra,2,3,500.0 sqm,Ghana cedis,3200,Michael Healing Real Estate ,13 Jul 12:39 am,Apartment,Executive two bedrooms self contain at latebiokorshi in Accra with fitted kitchen cabinet  air condition  separate meter  ceiling fans  24 / 7 water supply  24 / 7 security  spacious wardrobes  standby generator  Cctv camera  Executive apartment within a nice environment pls for more details contact me thanks
Chamber And Hall Madina,Madina,Madina,Accra,1,1,155.0 sqm,Ghana cedis,650,E-Villa Company Limited ,13 Jul  8:01 pm,Apartment,Very neat and nice chamber and hall on point. Has aircondition and water heater available. Rooms are extremly spacious. Wardrobe available as well. No problem with water. Has overhead tanks. Separate meter.
Chamber And Hall Self Contain Ashongman,Ashongman Last Stop,Ashongman Estates,Accra,1,1,100.0 sqm,Ghana cedis,345,E-Villa Company Limited ,13 Jul  8:00 pm,Apartment,Chamber and hall self contain. Very spacious and has nice kitchen and bath room. No water problem. Has bore hole in the house. Water is free in the house. Separate meter.
2 Bedroom Apartment Madina,Madina,Madina,Accra,2,1,200.0 sqft,Ghana cedis,900,E-Villa Company Limited ,13 Jul  8:01 pm,Apartment,Two bedroom apartment at madina. Spacious and tiled. Water available. Separate meters.
Single Room For Rent at west legon,West Legon,West Legon,Accra,1,1,1.0 sqft,Ghana cedis,500,Noji's Limited ,12 Jul  7:45 pm,Apartment,Single room self contain for rent at west legon close to the police station.. pls call for inspection thnx
Single room S/C in Spintex,Near American washing bay,Spintex,Accra,1,1,100.0 sqft,Ghana cedis,600,Thomas Tawiah Properties  ,12 Jul  5:43 pm,Apartment,A nice and comfortable single room apartment  with own toilet  bathroom and kitchen facilities with nicely tiled floor. Have access to utilities such as water and electricity and a private metre on a walled and gated compound
