Name, Landmark, City, Town, Bed, Bath, Size, Currency, Rent, Owner,Listing_Date, Type, Description
5 BRD FURNISHED TO LET - TEMA COMM. 25,Opposite Aves International  Tema community 25,Tema,Greater Accra,5,5,0 sqm,Ghana cedis,9000,UT Properties ,12 Jul  3:22 am,House,An executive 5 bedroom house situate in Tema Community 25. This home features a spacious living and dining area  a fitted kitchen  en suit rooms  fitted air conditioners and fans. KEY FEATURES 5 en suite rooms with beautiful interior Fully furnished kitchen Spacious living & dining areas Electrical fencing Overhead water tanks Paved compound Solar panel Property close to the road
5 BRD TO LET - BEDIAKO  TEMA COMM 25,,Tema,Greater Accra,5,5,0 sqm,Ghana cedis,2000,UT Properties ,11 Jul  8:36 pm,House,A newly built 5 bedroom house located in the serene environs of Tema Community 25. This home features a spacious living and dining area  a fitted kitchen  en suit rooms coupled with air condition points. KEY FEATURES 5 en suit bedroom Fully furnished kitchen Spacious living and dining area Electrical fencing Overhead water tanks Paved compound Water heaters
4 bedroom house for rent @ Batsonaa,Batsonaa,Spintex,Accra,4,4,200 sqm,Ghana cedis,3500,Maximo Properties ,12 Jul 12:00 pm,House,4 bedroom house for rent at Batsonaa off Spintex road. It comes with spacious bedrooms  hall  kitchen and dining area  4 washrooms  carport  tiled floors  AC  sliding windows  paved compound  summer hut  water reservoir  wardrobes  etc. Size of the building is 200m2 and price is USD 800 per month. Interested persons should contact Maximo Properties
4 BEDROOM HOUSE IN AMRAHIA NEAR BARON,AMRAHIA NEAR BARON,Adenta,Accra,4,5,100 /80 sqft,Ghana cedis,1500,Monica q , 7 Jul 12:11 pm,House,4 bedrooms all en suite  large family room  huge living room  walled with security  borehole with unlimited water supply.  Hot water tank in all rooms including the kitchen  ETC
2 bedroom house in Pokuase,Pokuase,Pokuase,Accra,2,2,100 sqm,Ghana cedis,1500,Richard ,10 Jul 11:22 am,House,Neat 2 bedroom house at Pokuase 2 washrooms Burglar Proof  In a Gated community with good security
5 Bedrooms self house- Dome,Christian village Dome pillar 2 road,Dome,Accra,5,4,700 sqm,Ghana cedis,1800,Justice Tawiah Properties ,12 Jul  9:30 am,House,This 5 bedrooms self compound house is located at Koforidua House Christian village Dome pillar two road and is just 30 seconds drive from main road. It is walled with a gate and comes with a living area  fitted kitchen cabinet  5 spacious bedrooms   masters and 2 other with shared bathroom  reliable water  nice tiles  secure neighborhood  nicely paved compound slide window with burglar proof  large compound for car parking and developed neighborhood. The house is well located for residence  office  and bungalow.
3 BEDROOMS HOUSE @Kwabenya,Kwabenya,Kwabenya,Accra,3,2,200 sqft,Ghana cedis,1000,Rock 1 Real Estate Agency ,13 Jul  6:52 am,House,newly Build 3 bedrooms house 2 washrooms 1 kitchen all the rooms are tiled a big compound and the is water in the house 2.4.7
3 Bedroom semidetach for Rent at Oyarifa,Oyarifa,Adenta,Accra,3,3,100 sqm,Ghana cedis,1300,Top Class Properties ,12 Jul  4:12 pm,House,A very nice 3 Bedroom SemiDetach house is going for rent at Oyarifa                                   It is a 3 bedroom house with 3 toilet and bath   all rooms are tiled with Paved Compound Kitchen 24 hours water supply and also electricity.it is a walled and gated community  there is packing space for cars too. Rent payment can be  made monthly.  PLEASE NOTE;WE ARE AGENCY AND REGISTRATION AND COMMISSION MUST BE PAYABLE
3 bedroom furnished house in Abelemkpe,Lincoln Community School  Abelemkpe,Abelemkpe,Accra,3,3,100x60 sqft,Ghana cedis,14200,Avenue Properties ,12 Jul  8:52 am,House,Executive THREE bedroom fully furnished house with one room outhouse for rent at Abelemkpe near Lincoln School in Accra.  All rooms are en-suite  and fully furnished.  It has telephone and DSTV.  There is a standby generator and a security post.   Regular flow of water and polytank for water storage.  Price: US$ 3 500/ month - negotiable. Minimum of 1 year rental required.
3 bedrooms house at Tema,Tema 25,Tema,Greater Accra,3,2,130 sqm,Ghana cedis,2500,Egghead Properties ,12 Jul  3:52 pm,House,Executive 3 bedrooms house now renting at Devtraco Estates Community 25 Tema  Details of the property •	Available: now  •	City: Tema  Community 25   •	Street: Coastal estate   •	Fence type: Block wall and  metallic gate  •	Bedrooms: 3  •	baths: 2 •	Condition: very good  •	Total Interior: 110 square meter (sqm) •	Total exterior: 20 square meter (sqm)  •	Total Land size: 130 square meter (sqm)  •	Rent: $600.00 per month for one (1) year advance •	minimum lease duration: one (1) months  •	minimum advance rent payment: one (1) months •	Property type: semi-detached house •	Year built: 2012 Inside/Indoors/Interior Features & Amenities: •	Unfurnished  •	Prime location  •	Quality electrical fittings •	Sliding glazed windows   •	Pop ceiling  •	Tiled flooring •	Guest shower & WC •	Fitted Air-conditioners •	Hot water generation system   •	Private locker •	Living + dining:-floor area 40 sqm  aluminum framed sliding glazed security doors for front  security steel doors for the back  air conditioned  sliding glazed windows. •	Family bathroom:-floor area 8 sqm  with fitted panel bath set in tiled surround with shower attachment over  hand wash basin  bathtub  low level WC  window and ceramic floor & wall tiles.  •	Master’s bedroom:-floor area 28 sqm  internal panelled doors  air conditioned  sliding glazed windows south facing windows allow plenty of natural light  built-in-wardrobe  walk-in closet  sliding glazed windows facing private terrace  bathtub  the bathroom is ensuite Shower & hand wash basin  WC and ceramic floor & wall tiles. •	2nd Bedroom:-floor area 18 sqm  internal panelled doors  air conditioned  sliding glazed windows  built-in-wardrobes. •	3rd Bedroom:-floor area 17.5 sqm  internal panelled doors  air conditioned  built-in-wardrobes. •	Kitchen:- floor area 21 sqm  internal panelled doors  door less kitchen  granite wall concept   modern cabinet  air conditioned  open concept design  lots of cabinetry space  stainless steel double sink  breakfast bar for extra seating  store room. Outside/Outdoor/Exterior Features & Amenities:  •	Electric power:- Electricity Company of Ghana •	Water supply:- Ghana water company and big water storage tanks •	Paved driveways & walkways  •	Landscape courtyard •	Secure parking  •	Privacy fence  •	Balcony  •	Garbage disposal •	24-hour security service  •	 Play area (kids) Community Information •	Tiled streets & roads throughout  •	Upper level communal area  •	Country club  •	Clubhouse  •	Jogging area  •	Biking path  •	Police station •	Residential area •	Fitness centre •	Play ground •	Gym facility  •	 Shops/ markets •	Hospitals •	International schools  •	Gated community Additional information •	Less than 15 minutes drive to Tema ports •	Less than 5 minutes drive to Tema Industrial area   •	There are trees in the area •	In keeping with nature •	Price: USD price: $600.00 per month =  •	Price is subjected to charge due to the dollar rate  Important notice:  These particulars have been prepared in all good faith to give a fair overall view of the property. Measurements and distance are given as a guide only. We have endeavoured to ensure the information given is accurate but we would urge you to contact us before travelling any great distance to ensure that your impression of the property is as we intended. We take a month rent commission after service. Please contact us for inspection through the real estate consultant  for an appointment please Call  text or email Emmanuel to arrange a private viewing. Contact person:-Emmanuel Gyina-Bediako-real estate agent/consultant at Egghead Properties Accra Ghana  West Africa
